timestamp,fivegs_pcffunction_pa_policysmassosucc_value,fivegs_pcffunction_pa_sessionnbr_value,fivegs_smffunction_sm_n4sessionreportsucc_value,fivegs_smffunction_sm_pdusessioncreationreq_value,fivegs_smffunction_sm_qos_flow_nbr_value,application,log_type
2025-04-22 09:39:05,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:06,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:07,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:08,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:09,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:10,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:11,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:12,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:13,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:14,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:15,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:16,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:17,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:18,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:19,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:20,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:21,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:22,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:23,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:24,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:25,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:26,10.0,4.0,0.0,10.0,10.0,0.0,0.0
