timestamp,log_level,component,message,log_file
2025-03-17 11:39:54.430,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:39:54.430,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NF-discover) NF Profile updated [type:UDM validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:39:54.431,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.432,INFO,scp,NF EndPoint(addr) setup [172.22.0.11:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.433,INFO,scp,NF EndPoint(addr) setup [172.22.0.13:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.434,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.436,INFO,scp,NF EndPoint(addr) setup [172.22.0.7:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.437,INFO,scp,NF EndPoint(addr) setup [172.22.0.27:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.438,INFO,scp,NF EndPoint(addr) setup [172.22.0.29:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.439,INFO,scp,NF EndPoint(addr) setup [172.22.0.13:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.442,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.444,INFO,scp,NF EndPoint(addr) setup [172.22.0.27:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:40:24.432,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] NF expired [type:UDM] (../lib/sbi/nf-sm.c:308),scp.log
2025-03-17 11:40:24.433,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] NF de-registered [type:UDM] (../lib/sbi/nf-sm.c:345),scp.log
2025-03-17 14:10:41.928,INFO,sbi,[8bb28226-0315-41f0-83e7-8be979b906d6] (NRF-notify) NF_DEREGISTERED event [type:NSSF] (../lib/sbi/nnrf-handler.c:1165),scp.log
2025-03-17 14:10:41.929,INFO,scp,NF EndPoint(addr) setup [172.22.0.10:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 14:11:11.253,INFO,scp,NF EndPoint(addr) setup [172.22.0.10:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 14:11:11.253,INFO,sbi,[8c0a2c2e-0315-41f0-85fa-b3441797430f] (NRF-notify) NF_DEREGISTERED event [type:SMF] (../lib/sbi/nnrf-handler.c:1165),scp.log
2025-03-17 14:11:20.818,INFO,sbi,[8bce2a30-0315-41f0-9b33-ed5fe0ae9c23] (NRF-notify) NF_DEREGISTERED event [type:AMF] (../lib/sbi/nnrf-handler.c:1165),scp.log
