timestamp,application,log_level,log_message
2025-03-19 20:28:09,sbi,INFO,[4a4a0126-04f8-41f0-be3b-a906f9392bf5] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:28:09,sbi,INFO,[4a4a0126-04f8-41f0-be3b-a906f9392bf5] (NRF-notify) NF Profile updated [type:PCF] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.27:80] (../lib/sbi/context.c:2350)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.27:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.27:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.27:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:28:09,scp,INFO,NF EndPoint(addr) setup [172.22.0.10:7777] (../src/scp/sbi-path.c:461)
2025-03-19 20:28:09,scp,INFO,NF EndPoint(addr) setup [172.22.0.7:7777] (../src/scp/sbi-path.c:461)
2025-03-19 20:28:09,app,INFO,Configuration: '/open5gs/install/etc/open5gs/bsf.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:28:09,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/bsf.log' (../lib/app/ogs-init.c:147)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/context.c:457)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.35:7777] (../lib/sbi/context.c:505)
2025-03-19 20:28:09,sbi,INFO,NF Service [nbsf-management] (../lib/sbi/context.c:1970)
2025-03-19 20:28:09,sbi,INFO,nghttp2_server() [http://172.22.0.29]:7777 (../lib/sbi/nghttp2-server.c:435)
2025-03-19 20:28:09,app,INFO,BSF initialize...done (../src/bsf/app.c:31)
2025-03-19 20:28:09,sbi,INFO,[4a4096ae-04f8-41f0-8d32-9dca6b3df575] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:208)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:28:09,sbi,INFO,"[4a40ea28-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:28:09.265464+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,app,INFO,Configuration: '/open5gs/install/etc/open5gs/upf.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:27:59,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/upf.log' (../lib/app/ogs-init.c:147)
2025-03-19 20:27:59,metrics,INFO,metrics_server() [http://172.22.0.8]:9091 (../lib/metrics/prometheus/context.c:299)
2025-03-19 20:27:59,pfcp,INFO,pfcp_server() [172.22.0.8]:8805 (../lib/pfcp/path.c:30)
2025-03-19 20:27:59,pfcp,INFO,ogs_pfcp_connect() [172.22.0.7]:8805 (../lib/pfcp/path.c:61)
2025-03-19 20:27:59,gtp,INFO,gtp_server() [172.22.0.8]:2152 (../lib/gtp/path.c:30)
2025-03-19 20:27:59,app,INFO,UPF initialize...done (../src/upf/app.c:31)
2025-03-19 20:27:59,upf,INFO,PFCP associated [172.22.0.7]:8805 (../src/upf/pfcp-sm.c:184)
2025-03-19 20:28:02,upf,WARNING,PFCP[REQ] has already been associated [172.22.0.7]:8805 (../src/upf/pfcp-sm.c:270)
2025-03-19 20:27:59,app,INFO,Configuration: '/open5gs/install/etc/open5gs/ausf.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:27:59,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/ausf.log' (../lib/app/ogs-init.c:147)
